Number,Total_Total_Total,Total_Total_Males,Total_Total_Females,Total_Chinese_Total,Total_Chinese_Males,Total_Chinese_Females,Total_Malays_Total,Total_Malays_Males,Total_Malays_Females,Total_Indians_Total,Total_Indians_Males,Total_Indians_Females,Total_Others_Total,Total_Others_Males,Total_Others_Females,SingaporeCitizens_Total_Total,SingaporeCitizens_Total_Males,SingaporeCitizens_Total_Females,SingaporeCitizens_Chinese_Total,SingaporeCitizens_Chinese_Males,SingaporeCitizens_Chinese_Females,SingaporeCitizens_Malays_Total,SingaporeCitizens_Malays_Males,SingaporeCitizens_Malays_Females,SingaporeCitizens_Indians_Total,SingaporeCitizens_Indians_Males,SingaporeCitizens_Indians_Females,SingaporeCitizens_Others_Total,SingaporeCitizens_Others_Males,SingaporeCitizens_Others_Females,PermanentResidents_Total_Total,PermanentResidents_Total_Males,PermanentResidents_Total_Females,PermanentResidents_Chinese_Total,PermanentResidents_Chinese_Males,PermanentResidents_Chinese_Females,PermanentResidents_Malays_Total,PermanentResidents_Malays_Males,PermanentResidents_Malays_Females,PermanentResidents_Indians_Total,PermanentResidents_Indians_Males,PermanentResidents_Indians_Females,PermanentResidents_Others_Total,PermanentResidents_Others_Males,PermanentResidents_Others_Females
Total,3902690,1916628,1986062,2900007,1415303,1484704,520923,259108,261815,354952,182304,172648,126808,59913,66895,3375023,1678802,1696221,2571045,1274298,1296747,505308,254469,250839,250349,126543,123806,48321,23492,24829,527667,237826,289841,328962,141005,187957,15615,4639,10976,104603,55761,48842,78487,36421,42066
0 - 4,183575,93852,89723,127953,65896,62057,31691,16276,15415,17434,8621,8813,6497,3059,3438,167850,86532,81318,118757,61424,57333,31456,16160,15296,12514,6398,6116,5123,2550,2573,15725,7320,8405,9196,4472,4724,235,116,119,4920,2223,2697,1374,509,865
5 - 9,204452,103861,100591,136134,69716,66418,32359,16575,15784,26269,13032,13237,9690,4538,5152,176018,90219,85799,124304,63891,60413,31958,16374,15584,14807,7500,7307,4949,2454,2495,28434,13642,14792,11830,5825,6005,401,201,200,11462,5532,5930,4741,2084,2657
10 - 14,214388,109401,104987,143109,73335,69774,36764,19016,17748,25175,12541,12634,9340,4509,4831,188794,97002,91792,131705,67698,64007,36283,18788,17495,16675,8426,8249,4131,2090,2041,25594,12399,13195,11404,5637,5767,481,228,253,8500,4115,4385,5209,2419,2790
15 - 19,242902,124287,118615,168641,86728,81913,43584,22504,21080,22689,11319,11370,7988,3736,4252,222394,114752,107642,156520,80955,75565,43214,22332,20882,18601,9432,9169,4059,2033,2026,20508,9535,10973,12121,5773,6348,370,172,198,4088,1887,2201,3929,1703,2226
20 - 24,264127,133493,130634,187266,94775,92491,48590,25006,23584,22501,11125,11376,5770,2587,3183,245523,127069,118454,173601,90065,83536,48249,24871,23378,20217,10290,9927,3456,1843,1613,18604,6424,12180,13665,4710,8955,341,135,206,2284,835,1449,2314,744,1570
25 - 29,271030,132504,138526,197951,96831,101120,44466,22571,21895,22662,10966,11696,5951,2136,3815,227690,117863,109827,162468,84490,77978,43791,22348,21443,18378,9419,8959,3053,1606,1447,43340,14641,28699,35483,12341,23142,675,223,452,4284,1547,2737,2898,530,2368
30 - 34,290619,137847,152772,211777,100938,110839,37710,18850,18860,30273,14105,16168,10859,3954,6905,214822,108986,105836,159506,80945,78561,36010,18435,17575,16507,8350,8157,2799,1256,1543,75797,28861,46936,52271,19993,32278,1700,415,1285,13766,5755,8011,8060,2698,5362
35 - 39,301067,143795,157272,220671,104242,116429,29582,14181,15401,35478,18689,16789,15336,6683,8653,214398,106519,107879,169701,84099,85602,26851,13606,13245,15203,7613,7590,2643,1201,1442,86669,37276,49393,50970,20143,30827,2731,575,2156,20275,11076,9199,12693,5482,7211
40 - 44,316755,154460,162295,234287,111298,122989,32543,15801,16742,33534,19461,14073,16391,7900,8491,241473,118842,122631,190579,92984,97595,30109,15161,14948,17662,9234,8428,3123,1463,1660,75282,35618,39664,43708,18314,25394,2434,640,1794,15872,10227,5645,13268,6437,6831
45 - 49,303413,149607,153806,224201,108315,115886,37208,18047,19161,28684,16484,12200,13320,6761,6559,249203,122733,126470,190730,93179,97551,35496,17573,17923,19842,10576,9266,3135,1405,1730,54210,26874,27336,33471,15136,18335,1712,474,1238,8842,5908,2934,10185,5356,4829
50 - 54,315091,158465,156626,236497,118039,118458,43192,21406,21786,25955,13913,12042,9447,5107,4340,280517,139979,140538,213656,106447,107209,42234,21088,21146,21599,11016,10583,3028,1428,1600,34574,18486,16088,22841,11592,11249,958,318,640,4356,2897,1459,6419,3679,2740
55 - 59,295063,147860,147203,230757,114879,115878,36525,18189,18336,21646,11401,10245,6135,3391,2744,276135,137486,138649,218177,108260,109917,35760,17921,17839,19522,10012,9510,2676,1293,1383,18928,10374,8554,12580,6619,5961,765,268,497,2124,1389,735,3459,2098,1361
60 - 64,240493,119660,120833,194874,97035,97839,26108,12584,13524,15647,7808,7839,3864,2233,1631,228653,112975,115678,186965,92618,94347,25325,12332,12993,14407,7035,7372,1956,990,966,11840,6685,5155,7909,4417,3492,783,252,531,1240,773,467,1908,1243,665
65 - 69,182425,88697,93728,151385,73661,77724,17131,8046,9085,11230,5412,5818,2679,1578,1101,174881,84408,90473,146512,70911,75601,16431,7805,8626,10376,4894,5482,1562,798,764,7544,4289,3255,4873,2750,2123,700,241,459,854,518,336,1117,780,337
70 - 74,102631,47779,54852,87310,40737,46573,8467,3721,4746,5626,2614,3012,1228,707,521,97897,45179,52718,84418,39198,45220,7857,3520,4337,4884,2119,2765,738,342,396,4734,2600,2134,2892,1539,1353,610,201,409,742,495,247,490,365,125
75 - 79,81211,36126,45085,68563,30617,37946,7118,3126,3992,4517,1882,2635,1013,501,512,78008,34594,43414,66510,29623,36887,6656,3013,3643,4089,1640,2449,753,318,435,3203,1532,1671,2053,994,1059,462,113,349,428,242,186,260,183,77
80 - 84,51785,20932,30853,43155,17255,25900,4842,1906,2936,3097,1468,1629,691,303,388,50325,20285,30040,42197,16817,25380,4679,1874,2805,2860,1360,1500,589,234,355,1460,647,813,958,438,520,163,32,131,237,108,129,102,69,33
85 & Over,41663,14002,27661,35476,11006,24470,3043,1303,1740,2535,1463,1072,609,230,379,40442,13379,27063,34739,10694,24045,2949,1268,1681,2206,1229,977,548,188,360,1221,623,598,737,312,425,94,35,59,329,234,95,61,42,19
